id,name,geom,type,type_validated,start_date,end_date,municipality,province,num_branches,active_1950_1959,active_1960_1969,active_1970_1979,active_1980_1989,active_1990_1999,active_2000_2009,active_2010_2019,active_2020_2029
00AP,WereldWijs,POINT(4.4750160620416 52.060201),BAS,True,1-8-1985,,ZOETERMEER,Zuid-Holland,1,False,False,False,True,True,True,True,True
00AR,"Basisschool ""De Maasparel""",POINT(4.3473142 51.980897),BAS,True,1-8-1985,,STEVENSWEERT,Limburg,1,False,False,False,True,True,True,True,True
00AV,De Morgenster,POINT(4.3204669 51.8511586),BAS,True,1-8-1986,,SPIJKENISSE,Zuid-Holland,1,False,False,False,True,True,True,True,True
00AZ,De Stapsteen,POINT(4.8696423 51.7985724),BAS,True,1-8-1985,,BLESKENSGRAAF CA,Zuid-Holland,1,False,False,False,True,True,True,True,True
00BB,Openbare Basisschool Letterwies,POINT(4.8052322 52.3587859),BAS,True,1-8-1985,,NIEUWOLDA,Groningen,1,False,False,False,True,True,True,True,True
00BS,Gereformeerde Basisschool De Planthof,POINT(6.2813798 52.5855625),BAS,True,1-8-1985,,NIEUWLEUSEN,Overijssel,1,False,False,False,True,True,True,True,True
00BW,Jenaplanschool De Vlieger,POINT(6.8911312 52.2219198),BAS,True,1-8-1986,,SITTARD,Limburg,1,False,False,False,True,True,True,True,True
00CD,Basisschool De Lockaert,POINT(5.5024889 51.7693979),BAS,True,1-8-1985,,OSS,Noord-Brabant,1,False,False,False,True,True,True,True,True
00CG,De Harlekijn,POINT(6.0920207 52.512764),BAS,True,1-8-1985,,LANDGRAAF,Limburg,1,False,False,False,True,True,True,True,True
00CS,Basisschool De Leilinde - school met de Bijbel,POINT(6.8932353 52.2212006),BAS,True,1-8-1985,,WINSCHOTEN,Groningen,1,False,False,False,True,True,True,True,True
00CU,Basisschool Zilverlinde,POINT(4.4747715 51.5190795),BAS,True,1-8-1985,,ROOSENDAAL,Noord-Brabant,1,False,False,False,True,True,True,True,True
00CV,School Matthijsje,POINT(6.1511134 52.8957873),BAS,True,1-8-1985,,OOSTERSTREEK,Friesland,1,False,False,False,True,True,True,True,True
00DD,Basisschool Het Startnest Jenaplan School,POINT(4.830053 52.2485326),BAS,True,1-8-1985,,UITHOORN,Noord-Holland,1,False,False,False,True,True,True,True,True
00DM,De Bolderik,POINT(5.4765812 51.6547225),BAS,True,1-8-1986,,HEESWIJK-DINTHER,Noord-Brabant,1,False,False,False,True,True,True,True,True
00DN,De Bundeling,POINT(6.898028 52.2215361),BAS,True,1-8-1986,,BUNDE,Limburg,1,False,False,False,True,True,True,True,True
00DO,INOVA basisschool Hoek van Holland,POINT(4.1369353 51.9778232),BAS,True,1-8-1985,,HOEK VAN HOLLAND,Zuid-Holland,1,False,False,False,True,True,True,True,True
