2025-02-21 11:42:01,714 - INFO - Starting reverse geocoding process...
2025-02-21 11:42:01,862 - INFO - Loaded GeoJSON data: 7961 locations
2025-02-21 11:42:01,862 - INFO - Columns: ['type', 'subtype', 'geometry']
2025-02-21 11:42:01,862 - INFO - CRS: EPSG:4326
2025-02-21 11:42:01,880 - INFO - Starting reverse geocoding for 7961 locations
2025-02-21 11:42:03,242 - WARNING - Failed to geocode location 1: (52.78784351873686, 6.546860927522439)
2025-02-21 11:42:03,364 - WARNING - Failed to geocode location 12: (53.075807019965, 6.573523212940601)
2025-02-21 11:42:03,377 - WARNING - Failed to geocode location 13: (52.98739090710478, 6.529859530985325)
2025-02-21 11:42:03,497 - WARNING - Failed to geocode location 14: (52.945865199620236, 6.44676713138539)
2025-02-21 11:42:03,511 - WARNING - Failed to geocode location 15: (53.08388881089387, 6.665345850990276)
2025-02-21 11:42:03,629 - WARNING - Failed to geocode location 16: (52.86537814034847, 6.516571773026484)
2025-02-21 11:42:03,644 - WARNING - Failed to geocode location 17: (52.86476614912335, 6.50817926256637)
2025-02-21 11:42:03,763 - WARNING - Failed to geocode location 18: (53.36603046886839, 5.222003113949261)
2025-02-21 11:42:03,771 - WARNING - Failed to geocode location 19: (53.09162880176425, 6.664481878560206)
2025-02-21 11:42:03,894 - WARNING - Failed to geocode location 20: (53.01770288776685, 6.563294549891573)
2025-02-21 11:42:03,925 - WARNING - Failed to geocode location 21: (52.87632241008223, 6.951545829847525)
2025-02-21 11:42:04,028 - WARNING - Failed to geocode location 22: (53.017873885618876, 6.582496095004891)
2025-02-21 11:42:04,073 - WARNING - Failed to geocode location 23: (53.07803876532225, 6.694676865400844)
2025-02-21 11:42:04,218 - WARNING - Failed to geocode location 25: (52.98853388840288, 6.577357149065572)
2025-02-21 11:42:04,334 - WARNING - Failed to geocode location 26: (52.998946878449175, 6.552274041273597)
2025-02-21 11:42:04,355 - WARNING - Failed to geocode location 27: (53.00335692341426, 6.50577992908013)
2025-02-21 11:42:04,476 - WARNING - Failed to geocode location 28: (53.17930700897102, 6.539624399956447)
2025-02-21 11:42:04,490 - WARNING - Failed to geocode location 29: (53.00085491133729, 6.514361450009086)
2025-02-21 11:42:04,610 - WARNING - Failed to geocode location 30: (52.70429689494683, 6.544592225524986)
2025-02-21 11:42:04,623 - WARNING - Failed to geocode location 31: (52.67071785860979, 6.536033315045011)
2025-02-21 11:42:04,746 - WARNING - Failed to geocode location 32: (52.67147384028698, 6.696264835214588)
2025-02-21 11:42:04,755 - WARNING - Failed to geocode location 33: (52.67141980473209, 6.997000179300204)
